environment,twin_gap,regime,baseline,mean_total_cost,stderr_total_cost,mean_oracle_regret,mean_failures,n
cartpole,gap,drifting,arcari_dual_smpc,0.9331758636717625,0.013715938178331609,-0.13611682459672492,0.0,2
cartpole,gap,drifting,kh_dual_control,11.507397247938286,0.1838155642456405,10.438104559669798,0.0,2
cartpole,gap,drifting,oracle_trend,1.0692926882684874,0.010518015696950876,0.0,0.0,2
cartpole,gap,drifting,tv_gp_lcb,839.4166297080151,0.42125752135706307,838.3473370197466,8.0,2
cartpole,gap,piecewise,arcari_dual_smpc,0.85352257785044,0.024935036889665693,-0.0741549001246099,0.0,2
cartpole,gap,piecewise,kh_dual_control,12.597392327845416,2.0889713342768053,11.669714849870367,0.0,2
cartpole,gap,piecewise,oracle_trend,0.9276774779750498,0.07751526469406354,0.0,0.0,2
cartpole,gap,piecewise,tv_gp_lcb,536.6155534211236,101.01368190574257,535.6878759431486,5.0,2
cartpole,gap,static,arcari_dual_smpc,0.8733259663416308,0.034858339882158466,-0.05920695730598852,0.0,2
cartpole,gap,static,kh_dual_control,12.597392327845416,2.0889713342768053,11.664859404197797,0.0,2
cartpole,gap,static,oracle_trend,0.9325329236476194,0.0277095808419438,0.0,0.0,2
cartpole,gap,static,tv_gp_lcb,638.3134589671371,104.06257218375856,637.3809260434895,6.0,2
cartpole,no_gap,drifting,arcari_dual_smpc,0.6543918187429231,0.015465802001397244,0.11361969173286879,0.0,2
cartpole,no_gap,drifting,kh_dual_control,11.50279603341841,0.18490577100837058,10.962023906408355,0.0,2
cartpole,no_gap,drifting,oracle_trend,0.5407721270100543,0.005582874627469757,0.0,0.0,2
cartpole,no_gap,drifting,tv_gp_lcb,791.6695299207388,48.448965092981034,791.1287577937287,7.5,2
cartpole,no_gap,piecewise,arcari_dual_smpc,0.6231978681085766,0.037837958421789664,0.05347921472175304,0.0,2
cartpole,no_gap,piecewise,kh_dual_control,12.59866334683931,2.0896199350442433,12.028944693452486,0.0,2
cartpole,no_gap,piecewise,oracle_trend,0.5697186533868236,0.012220030452322448,0.0,0.0,2
cartpole,no_gap,piecewise,tv_gp_lcb,689.6576572615079,51.17669347254593,689.087938608121,6.5,2
cartpole,no_gap,static,arcari_dual_smpc,0.6208170063616145,0.0326318431997375,0.1313315858497923,0.0,2
cartpole,no_gap,static,kh_dual_control,12.59866334683931,2.0896199350442433,12.109177926327487,0.0,2
cartpole,no_gap,static,oracle_trend,0.4894854205118223,0.030438321640201684,0.0,0.0,2
cartpole,no_gap,static,tv_gp_lcb,792.9758247863634,50.59778678753071,792.4863393658516,7.5,2
